name,county,acres,long,lat,year,date_end,date_start,days
Poslin Fire,Lassen,859,-120.066,39.888,2017,1/9/2018,8/6/2017,156.00
Wildomar Fire,Riverside,866,-117.34192,33.60247,2017,1/9/2018,10/26/2017,75.00
Beale Fire,Yuba,867,-121.32957,39.1234,2017,1/9/2018,8/20/2017,142.00
Grade Fire,Mendocino,900,-123.28825,39.30125,2017,1/9/2018,7/16/2017,177.00
Berry Fire,Shasta,900,-121.81623,40.98352,2017,1/9/2018,9/11/2017,120.00
Range Fire,San Diego,1000,-117.39818,33.34988,2017,1/9/2018,5/25/2017,229.00
Chilcoot Fire,Plumas,1020,-120.1397,39.75371,2017,1/9/2018,8/6/2017,156.00
Mission Fire,Madera,1037,-119.48067,37.21616,2017,9/13/2017,9/3/2017,10.00
Hudson Fire,Kern,1083,-119.44751,34.94373,2017,1/9/2018,7/18/2017,175.00
Buffalo Fire,San Diego,1088,-117.402445,33.402411,2017,11/14/2017,10/17/2017,28.00
Tarina Fire,Kern,1200,-118.80123,35.38298,2017,1/9/2018,6/30/2017,193.00
Latrobe Fire,Sacramento,1268,-121.104,38.5181,2017,1/9/2018,7/26/2017,167.00
Caldwell Fire,Kern,1319,-118.406,35.76,2017,1/9/2018,9/1/2017,130.00
Opera Fire,Riverside,1350,-117.30693,34.00566,2017,5/2/2017,4/30/2017,2.00
Garden Fire,Kern,1350,-118.654,35.543,2017,1/9/2018,7/30/2017,163.00
Oakwood Fire,Madera,1417,-119.8011,37.0825,2017,6/13/2017,6/10/2017,3.00
Blaine Fire,Riverside,1500,-117.30819,33.98212,2017,1/9/2018,8/13/2017,149.00
Holcomb Fire,San Bernardino,1503,-116.826,34.2976,2017,6/29/2017,6/19/2017,10.00
Highway Fire,Kern,1522,-118.66733,35.53456,2017,6/28/2017,6/18/2017,10.00
Derrick Fire,Fresno,1562,-120.620791,36.269125,2017,1/9/2018,7/2/2017,191.00
Hill Fire,San Luis Obispo,1626,-120.4992,35.4025,2017,6/30/2017,6/26/2017,4.00
Quail Fire,Kern,1626,-119.08312,35.59904,2017,1/9/2018,7/6/2017,187.00
Park Fire,Fresno,1649,-120.55579,35.95911,2017,1/9/2018,7/17/2017,176.00
37 Fire,Sonoma,1660,-122.47301,38.14242,2017,10/13/2017,10/9/2017,4.00
Winters Fire,Yolo,1700,-122.0251,38.49521,2017,7/12/2017,7/6/2017,6.00
Wright Fire,Merced,1733,-120.89261,36.96655,2017,1/9/2018,5/12/2017,242.00
Creek Fire,Stanislaus,1749,-119.941,38.12,2017,1/9/2018,9/3/2017,128.00
Parkfield Fire,"Monterey, San Luis Obispo",1816,-120.57894,35.86949,2017,7/11/2017,7/8/2017,3.00
Gate Fire,San Diego,2056,-116.80527,32.65597,2017,5/23/2017,5/20/2017,3.00
Sulphur Fire (Mendocino Lake Complex),Lake,2207,-122.64543,39.01387,2017,10/26/2017,10/9/2017,17.00
Roadrunner Fire,Tulare,2289,-118.94252,36.0226,2017,1/9/2018,7/30/2017,163.00
Indian Fire,Tulare,2295,-118.296,36.257,2017,1/9/2018,8/2/2017,160.00
I-5 Fire,Kings,2312,-120.05404,36.05187,2017,1/9/2018,8/24/2017,138.00
Eureka Fire,Plumas,2575,-120.75485,39.75312,2017,1/9/2018,9/5/2017,126.00
Canyon Fire,Orange,2662,-117.68598,33.8668,2017,3/28/2018,9/25/2017,184.00
Hawk Fire,Kern,2940,-118.89627,35.77896,2017,1/9/2018,7/7/2017,186.00
Young Fire,Siskiyou,3142,-123.676,41.853,2017,8/28/2017,8/7/2017,21.00
Palmer Fire,Riverside,3800,-117.09984,33.97471,2017,9/6/2017,9/2/2017,4.00
Ponderosa Fire,Butte,4016,-121.30209,39.57701,2017,9/9/2017,8/29/2017,11.00
Lilac Fire,San Diego,4088,-117.163,33.3237,2017,1/9/2018,12/7/2017,33.00
Minerva Fire,Plumas,4310,-120.9761,39.9034,2017,1/9/2018,7/29/2017,164.00
Jayne Fire,Fresno,4532,-120.26561,36.07228,2017,4/21/2017,4/20/2017,1.00
Ruth Complex,Trinity,4736,-123.36882,40.17598,2017,1/9/2018,8/7/2017,155.00
Summit Complex,Stanislaus,5247,-119.782,38.329,2017,1/9/2018,7/31/2017,162.00
Wall Fire,Butte,6033,-121.41222,39.45352,2017,7/17/2017,7/7/2017,10.00
Mud Fire,Lassen,6042,-120.22215,40.43962,2017,9/1/2017,8/29/2017,3.00
Rye Fire,Los Angeles,6049,-118.58188,34.45283,2017,1/18/2018,12/5/2017,44.00
LaPorte Fire (Wind Complex),Butte,6151,-121.40613,39.39455,2017,10/18/2017,10/9/2017,9.00
Manzanita Fire,Riverside,6309,-116.594422,33.530045,2017,7/30/2017,6/26/2017,34.00
South Fork Fire,Mariposa,7000,-119.598,37.538,2017,11/27/2017,8/14/2017,105.00
La Tuna Fire,Los Angeles,7194,-118.2674,34.22957,2017,9/9/2017,9/1/2017,8.00
Parker 2 Fire,Modoc,7697,-120.321,41.466,2017,8/29/2017,8/3/2017,26.00
Empire Fire,Mariposa,8094,-119.618,37.644,2017,11/27/2017,8/1/2017,118.00
Partrick Fire (Central LNU Complex),Napa,8283,-122.39052,38.31802,2017,10/30/2017,10/8/2017,22.00
Cherokee Fire,Butte,8500,-121.52966,39.62496,2017,10/16/2017,10/8/2017,8.00
Slinkard Fire,Mono,8925,-119.55425,38.655,2017,9/12/2017,8/29/2017,14.00
Canyon 2 Fire,Orange,9217,-117.70975,33.87041,2017,10/17/2017,10/9/2017,8.00
Cascade Fire (Wind Complex),Yuba,9989,-121.4021,39.32198,2017,10/18/2017,10/8/2017,10.00
Elm Fire,Fresno,10345,-120.37116,36.12089,2017,5/21/2017,5/18/2017,3.00
Railroad Fire,Madera,12407,-119.64622,37.44663,2017,10/24/2017,8/29/2017,56.00
Buck Fire,Trinity,13417,-123.03583,40.2275,2017,11/20/2017,9/12/2017,69.00
Creek Fire,Los Angeles,15619,-118.35863,34.31283,2017,1/9/2018,12/5/2017,35.00
Pocket Fire (Central LNU Complex),Sonoma,17357,-122.90939,38.76549,2017,10/31/2017,10/9/2017,22.00
Whittier Fire,Santa Barbara,18430,-119.9494,34.55096,2017,10/5/2017,7/8/2017,89.00
R-4 Fire,Lassen,18618,-119.93499,40.69573,2017,1/9/2018,8/30/2017,132.00
Lion Fire,Tulare,18900,-118.48555,36.27138,2017,12/2/2017,9/27/2017,66.00
Helena - Fork Fire,Trinity,21846,-123.10003,40.76025,2017,11/15/2017,8/30/2017,77.00
Orleans Complex,Siskiyou,27276,-123.501,41.59,2017,9/26/2017,7/26/2017,62.00
Alamo Fire,San Luis Obispo,28687,-120.3223,35.0179,2017,7/19/2017,7/6/2017,13.00
Redwood Valley Fire (Mendocino Lake Complex),Mendocino,36523,-123.16635,39.24873,2017,10/28/2017,10/8/2017,20.00
Pier Fire,Tulare,36556,-118.74103,36.15356,2017,11/29/2017,8/29/2017,92.00
Tubbs Fire (Central LNU Complex),"Napa, Sonoma",36807,-122.62879,38.60895,2017,10/31/2017,10/8/2017,23.00
Miller Complex,Siskiyou,39715,-123.218,42.039,2017,1/9/2018,8/14/2017,148.00
Nuns / Adobe / Norrbom/ Pressley / Partrick Fires / Oakmont (Central LNU Complex),"Napa, Sonoma",44573,-122.5209,38.4041,2017,10/30/2017,10/9/2017,21.00
Garza Fire,Kings,48660,-120.20014,35.93273,2017,7/21/2017,7/9/2017,12.00
Atlas Fire (Southern LNU Complex),"Napa, Solano",51624,-122.24367,38.39206,2017,10/31/2017,10/9/2017,22.00
Eclipse Complex,Siskiyou,78698,-123.474,41.841,2017,11/29/2017,8/15/2017,106.00
Detwiler Fire,Mariposa,81826,-120.21321,37.61757,2017,8/24/2017,7/16/2017,39.00
Long Valley Fire,Lassen,83733,-120.14013,40.07045,2017,7/21/2017,7/11/2017,10.00
Chetco Fire,REMOVE,191125,-123.95405,42.29896,2017,1/9/2018,7/12/2017,181.00
Thomas Fire,"Santa Barbara, Ventura",281893,-119.09124,34.41521,2017,1/12/2018,12/4/2017,39.00
70th Fire,Riverside,10,-116.10231,33.53924,2018,1/4/2019,5/28/2018,221.00
Jardin Fire,Riverside,10,-117.22215,33.45014,2018,1/4/2019,6/2/2018,216.00
Black Fire,Tehama,10,-122.3307,39.80827,2018,1/4/2019,6/3/2018,215.00
Green Fire,San Diego,10,-116.92404,32.75072,2018,1/4/2019,6/3/2018,215.00
Pallet Fire,Sonoma,10,-122.44408,38.245151,2018,1/4/2019,6/5/2018,213.00
Ranchita Fire,Monterey,10,-120.57833,35.77017,2018,1/4/2019,6/19/2018,199.00
Creek Fire,San Luis Obispo,10,-120.39295,35.05747,2018,1/4/2019,6/21/2018,197.00
Llano Fire,Butte,10,-121.954098,39.6139,2018,1/4/2019,6/29/2018,189.00
Building Fire,San Diego,10,-116.764733,32.619855,2018,1/4/2019,7/6/2018,182.00
Lott Fire,Siskiyou,10,-122.37985,41.632373,2018,1/4/2019,7/17/2018,171.00
Syar Fire,Napa,10,-122.26389,38.27229,2018,1/4/2019,8/9/2018,148.00
Keller Fire,Riverside,10,-117.171731,33.627006,2018,1/4/2019,8/19/2018,138.00
Powellton Fire,Butte,10,-121.54103,39.93427,2018,1/4/2019,10/15/2018,81.00
Green Hill Fire,Humboldt,10,-124.001849,40.888785,2018,1/4/2019,11/12/2018,53.00
Bear Fire,Santa Cruz,10,-122.12036,37.12857,2018,1/4/2019,11/16/2018,49.00
Rock Fire,Shasta,11,-121.77419,40.4635,2018,1/3/2019,3/27/2018,282.00
Grande Fire,Riverside,11,-117.31468,33.47413,2018,1/4/2019,6/3/2018,215.00
Dark Fire,Butte,11,-121.51772,39.66492,2018,1/4/2019,7/10/2018,178.00
Cornerstone Fire,Madera,11,-119.80414,37.19817,2018,1/4/2019,7/9/2018,179.00
Grant Fire,Alameda,12,-121.6039,37.73835,2018,1/4/2019,5/14/2018,235.00
Volcan Fire,San Diego,12,-116.58759,33.12213,2018,1/4/2019,5/10/2018,239.00
Bellagio Fire,Napa,12,-122.23059,38.16303,2018,1/4/2019,5/21/2018,228.00
Resort Fire,San Luis Obispo,12,-120.91793,35.75737,2018,1/4/2019,6/3/2018,215.00
Meamber Fire,Siskiyou,12,-122.98442,41.64805,2018,1/4/2019,6/4/2018,214.00
Vista Fire,San Diego,12,-117.22974,33.40769,2018,1/4/2019,6/5/2018,213.00
Mission Fire,Marin,12,-122.5275,37.97638,2018,1/4/2019,6/9/2018,209.00
School Fire,Madera,12,-119.50461,37.22791,2018,1/4/2019,7/10/2018,178.00
Gray Fire,San Bernardino,12,-117.35606,34.171786,2018,1/4/2019,7/13/2018,175.00
Meyers Fire,El Dorado,12,-120.65672,38.7448,2018,1/4/2019,9/20/2018,106.00
Tower Fire,Shasta,12,-122.51597,40.49618,2018,1/4/2019,10/14/2018,82.00
Coldwell Fire,Fresno,13,-120.55324,36.10499,2018,1/4/2019,6/2/2018,216.00
Cinnamon Fire,San Diego,13,-116.78928,33.04898,2018,1/4/2019,7/20/2018,168.00
Ranchera Fire,Shasta,13,-122.400556,40.678889,2018,1/4/2019,9/4/2018,122.00
Madison FIre,Yolo,14,-122.01762,38.64953,2018,1/4/2019,6/1/2018,217.00
3-2 Fire,Lassen,14,-120.02137,39.99309,2018,1/4/2019,7/14/2018,174.00
Camp Fire,San Luis Obispo,14,-120.97339,35.70086,2018,1/4/2019,7/17/2018,171.00
Casner Fire,San Diego,14,-116.77154,33.05737,2018,1/4/2019,8/6/2018,151.00
Tyler Fire,Riverside,15,-116.164058,33.711263,2018,1/3/2019,4/15/2018,263.00
Woodchuck Fire,Riverside,15,-117.003829,33.467999,2018,1/4/2019,5/4/2018,245.00
Essex Fire,Modoc,15,-120.72362,41.52123,2018,1/4/2019,9/2/2018,124.00
Iron Gate Fire,Siskiyou,15,-122.43933,41.94046,2018,1/4/2019,10/10/2018,86.00
Keeler Fire,Santa Clara,16,-121.76828,37.21803,2018,1/4/2019,5/27/2018,222.00
Johnson Fire,Humboldt,16,-123.85404,41.34453,2018,1/4/2019,7/15/2018,173.00
Oak Fire,Nevada,16,-121.07039,39.10494,2018,1/4/2019,8/12/2018,145.00
Ethanac Fire,Riverside,17,-117.28189,33.742,2018,1/4/2019,6/3/2018,215.00
China Fire,Amador,17,-120.892404,38.265645,2018,1/4/2019,6/17/2018,201.00
Rincon Fire,Santa Cruz,17,-122.046,37.0125,2018,1/4/2019,11/3/2018,62.00
Lago Fire,Riverside,18,-117.16232,33.88744,2018,1/3/2019,4/22/2018,256.00
Jacques Fire,San Diego,18,-117.27467,33.40178,2018,1/4/2019,5/9/2018,240.00
French Fire,Plumas,20,-120.18499,39.89075,2018,1/4/2019,4/26/2018,253.00
Portola Fire,Los Angeles,20,-118.427886,34.110516,2018,1/4/2019,6/12/2018,206.00
Bridle Fire,Riverside,20,-116.821724,33.524412,2018,1/4/2019,6/14/2018,204.00
70 Fire,Butte,20,-121.617698,39.602703,2018,1/4/2019,6/14/2018,204.00
Vallecitos Fire,Alameda,20,-121.806775,37.627119,2018,1/4/2019,6/17/2018,201.00
Church Fire,Santa Clara,20,-121.600023,37.07793,2018,1/4/2019,7/25/2018,163.00
Morgan Fire,Contra Costa,20,-121.7944,37.81111,2018,1/4/2019,11/15/2018,50.00
Niles Fire,Alameda,20,-121.94182,37.61158,2018,1/4/2019,11/14/2018,51.00
Meadow Fire,Riverside,21,-117.48144,33.86439,2018,1/3/2019,4/9/2018,269.00
Wagner Fire,Mariposa,22,-120.0545,37.69965,2018,1/4/2019,8/4/2018,153.00
Plymire Fire,Tehama,23,-122.29388,40.201826,2018,1/4/2019,6/1/2018,217.00
Glen Fire,Contra Costa,23,-121.86473,37.99113,2018,1/4/2019,6/2/2018,216.00
Land Fire,Riverside,23,-117.066643,33.946896,2018,1/4/2019,8/22/2018,135.00
Kelsey Fire,Lake,24,-122.85276,38.91842,2018,1/4/2019,9/3/2018,123.00
Vineyard Fire,San Luis Obispo,25,-120.64028,35.71859,2018,1/4/2019,5/29/2018,220.00
Willow Fire,Contra Costa,25,-121.998967,38.015323,2018,1/4/2019,6/16/2018,202.00
Soboba Fire,Riverside,25,-116.93188,33.80406,2018,1/4/2019,9/14/2018,112.00
White Fire,Tulare,26,-118.9821,35.826333,2018,1/4/2019,5/18/2018,231.00
Ager Fire,Siskiyou,27,-122.513883,41.791859,2018,1/4/2019,5/19/2018,230.00
Border Fire,San Diego,28,-116.8663,32.557566,2018,1/4/2019,7/17/2018,171.00
Aqueduct Fire,Fresno,30,-119.94083,35.92436,2018,1/3/2019,4/12/2018,266.00
Grant Fire,Sacramento,30,-121.17693,38.595865,2018,1/4/2019,6/29/2018,189.00
Rock Fire,San Luis Obispo,30,-120.95157,35.68539,2018,1/4/2019,7/21/2018,167.00
Creek Fire,Alameda,30,-121.79733,37.533026,2018,1/4/2019,8/4/2018,153.00
Sobrante Fire,Riverside,30,-117.43521,33.85852,2018,1/4/2019,7/28/2018,160.00
Alhambra Fire,Contra Costa,30,-122.14097,37.99618,2018,1/4/2019,8/17/2018,140.00
Quimby Fire,Santa Clara,30,-121.75815,37.33563,2018,1/4/2019,9/23/2018,103.00
Vista Fire,Shasta,31,-122.23449,40.62693,2018,1/4/2019,7/8/2018,180.00
Creek Fire,Lake,32,-122.476381,38.886518,2018,1/4/2019,6/16/2018,202.00
3-18 Fire,Lassen,32,-121.05722,41.08583,2018,1/4/2019,7/15/2018,173.00
Country Fire,Riverside,32,-117.20534,33.97902,2018,1/4/2019,8/25/2018,132.00
Eagle Fire,Fresno,32,-119.3127769,36.938674,2018,1/4/2019,10/2/2018,94.00
Creek Fire,San Bernardino,33,-117.15381,34.17711,2018,1/4/2019,6/30/2018,188.00
Lariat Fire,Tehama,33,-122.44008,40.00293,2018,1/4/2019,7/14/2018,174.00
Nimshew Fire,Butte,33,-121.62168,39.84151,2018,1/4/2019,9/24/2018,102.00
Horse Creek Fire,Tulare,34,-118.70443,36.42638,2018,1/4/2019,7/19/2018,169.00
Patterson Fire,Alameda,34,-121.55604,37.71173,2018,1/4/2019,7/25/2018,163.00
Marcel Fire,Kern,34,-118.51651,35.17156,2018,1/4/2019,8/17/2018,140.00
Fairview Fire,San Benito,35,-121.36446,36.83036,2018,1/4/2019,6/3/2018,215.00
Corner Fire,Shasta,35,-121.6002,40.95673,2018,1/4/2019,7/29/2018,159.00
Terra Fire,Riverside,35,-117.460278,33.759722,2018,1/4/2019,8/6/2018,151.00
Brushy Fire,Mendocino,35,-123.28774,39.62194,2018,1/4/2019,11/8/2018,57.00
Ridge Fire,Lake,36,-122.97222,38.981389,2018,1/4/2019,9/2/2018,124.00
Winchester Fire,Riverside,36,-117.085354,33.640051,2018,1/4/2019,8/27/2018,130.00
Martin Fire,Siskiyou,37,-122.33769,41.58233,2018,1/4/2019,6/3/2018,215.00
Mustang Fire,San Luis Obispo,37,-120.71907,35.64917,2018,1/4/2019,7/21/2018,167.00
Adobe Fire,San Diego,38,-117.06782,32.78031,2018,1/4/2019,6/3/2018,215.00
Masonic Fire,Shasta,38,-122.38366,40.60866,2018,1/4/2019,10/14/2018,82.00
Hidden Fire,San Benito,39,-121.40604,36.796,2018,1/4/2019,7/25/2018,163.00
Oregon Fire,Butte,40,-121.521111,39.549167,2018,1/4/2019,6/16/2018,202.00
Iron Fire,Contra Costa,40,-121.908976,37.779209,2018,1/4/2019,6/19/2018,199.00
Ben Fire,Mariposa,40,-119.97546,37.28365,2018,1/4/2019,7/19/2018,169.00
Martinez Fire,Riverside,40,-116.154398,33.56921,2018,1/4/2019,7/23/2018,165.00
Simmons Fire,Butte,43,-121.43131,39.57202,2018,1/4/2019,7/19/2018,169.00
Buckingham Fire,Contra Costa,45,-122.12351,37.86339,2018,1/4/2019,7/2/2018,186.00
Bridge Fire,Marin,45,-122.76751,38.07135,2018,1/4/2019,12/31/2018,4.00
Castro Fire,Alameda,48,-122.02805,37.69926,2018,1/4/2019,8/26/2018,131.00
Haycamp Fire,Monterey,50,-121.28185,35.96689,2018,1/3/2019,2/7/2018,330.00
Tuscan Fire,Tehama,50,-122.11375,40.27754,2018,1/4/2019,7/15/2018,173.00
Carder Fire,Lake,50,-122.86854,38.91152,2018,1/4/2019,7/21/2018,167.00
Hale Fire,Santa Clara,51,-121.702547,37.163594,2018,1/4/2019,7/10/2018,178.00
Crestline Fire,Shasta,51,-121.90215,40.824,2018,1/4/2019,7/24/2018,164.00
Reservoir Fire,San Luis Obispo,51,-120.64398,35.30151,2018,1/4/2019,9/16/2018,110.00
Kelley Fire,Modoc,52,-120.61108,41.50105,2018,1/4/2019,7/14/2018,174.00
Boyer Fire,Mariposa,53,-119.84299,37.47677,2018,1/4/2019,6/15/2018,203.00
Copper Fire,Lassen,53,-120.93005,40.33642,2018,1/4/2019,9/22/2018,104.00
Keenbrook Fire,San Bernardino,53,-117.42431,34.24138,2018,1/4/2019,9/26/2018,100.00
Experimental Fire,Madera,56,-119.75307,37.0979,2018,1/4/2019,5/23/2018,226.00
Bruce Fire,Contra Costa,56,-121.85311,37.79718,2018,1/4/2019,7/8/2018,180.00
3-10 Fire,Lassen,56,-121.21597,40.95234,2018,1/4/2019,7/15/2018,173.00
Camino Fire,San Luis Obispo,58,-120.48861,35.17693,2018,1/4/2019,10/19/2018,77.00
Agua Fire,San Diego,59,-117.03134,33.35505,2018,1/4/2019,5/22/2018,227.00
Happy Fire,Santa Barbara,60,-120.18236,34.74245,2018,1/4/2019,5/17/2018,232.00
Vista Fire,San Luis Obispo,60,-120.670311,35.663607,2018,1/4/2019,6/13/2018,205.00
Creston FIre,San Luis Obispo,60,-120.624135,35.58354,2018,1/4/2019,6/14/2018,204.00
Raymond Fire,Madera,60,-119.91223,37.14663,2018,1/4/2019,6/15/2018,203.00
Grade Fire,Lake,60,-122.3625,38.8275,2018,1/4/2019,8/30/2018,127.00
Adams Fire,Tehama,60,-122.308479,40.346652,2018,1/4/2019,11/5/2018,60.00
Liberty Fire,San Joaquin,62,-121.09199,38.24033,2018,1/4/2019,6/11/2018,207.00
Canyon Fire,Los Angeles,62,-118.75495,34.53765,2018,1/4/2019,6/23/2018,195.00
Lebec Fire,Kern,62,-118.87881,34.86022,2018,1/4/2019,7/8/2018,180.00
Stuhr Fire,Stanislaus,63,-121.10903,37.32744,2018,1/4/2019,5/29/2018,220.00
Cherry Fire,Siskiyou,63,-122.99272,41.83359,2018,1/4/2019,6/27/2018,191.00
Benton Fire,Riverside,63,-116.732032,33.56349,2018,1/4/2019,7/4/2018,184.00
Highland Fire,Shasta,63,-122.649626,40.741186,2018,1/4/2019,7/20/2018,168.00
Park Fire,Santa Clara,63,-121.6869444,37.1769444,2018,1/4/2019,10/7/2018,89.00
Panoche Fire,San Benito,64,-121.03253,36.64832,2018,1/4/2019,6/4/2018,214.00
Omega Fire,El Dorado,66,-121.03918,38.82128,2018,1/4/2019,8/1/2018,156.00
Heart Fire,Mendocino,67,-123.258319,39.279833,2018,1/4/2019,7/21/2018,167.00
Bumper Fire,El Dorado,67,-120.874167,38.645,2018,1/4/2019,8/1/2018,156.00
Romero Fire,Merced,68,-121.09354,37.08529,2018,1/4/2019,6/24/2018,194.00
Tornado Fire,Riverside,70,-117.148204,33.504964,2018,1/4/2019,5/4/2018,245.00
Spring Fire,Tehama,70,-122.135924,40.394073,2018,1/4/2019,6/13/2018,205.00
Tesla Fire,Santa Clara,70,-121.67144,37.66074,2018,1/4/2019,6/29/2018,189.00
Curie Fire,Santa Clara,70,-121.79189,37.22545,2018,1/4/2019,7/10/2018,178.00
Main Fire,Riverside,73,-117.32281,33.67815,2018,1/4/2019,4/28/2018,251.00
Chrome Fire,Glenn,75,-122.58666,39.65578,2018,1/4/2019,5/28/2018,221.00
Stony Fire,Colusa,75,-122.512012,39.2976,2018,1/4/2019,7/4/2018,184.00
Anchor Fire,Fresno,76,-119.304499,36.696879,2018,1/4/2019,6/27/2018,191.00
Silver Fire,Shasta,76,-122.17173,40.5939,2018,1/4/2019,9/28/2018,98.00
Cruces Fire,Santa Barbara,77,-120.3180556,34.54305556,2018,1/4/2019,7/18/2018,170.00
Horse Fire,Calaveras,80,-120.68902,37.95766,2018,1/4/2019,6/24/2018,194.00
Spring 2 Fire,Lake,80,-122.59789,39.06715,2018,1/4/2019,7/9/2018,179.00
Shandon Fire,San Luis Obispo,80,-120.258,-120.258,2018,1/4/2019,9/29/2018,97.00
Plaza Fire,Merced,88,-121.01638,37.056944,2018,1/4/2019,5/20/2018,229.00
Redinger Fire,Madera,88,-119.431667,37.179167,2018,1/4/2019,8/27/2018,130.00
Horn Fire,Lassen,88,-120.19336,40.83116,2018,1/4/2019,11/8/2018,57.00
3-16 Fire,Lassen,89,-121.27049,40.94666,2018,1/4/2019,7/15/2018,173.00
Peach Fire,Mendocino,90,-123.38493,39.038859,2018,1/4/2019,7/5/2018,183.00
Sheep Fire,Kern,95,-118.72905,35.1234,2018,1/4/2019,6/29/2018,189.00
Sam Fire,Monterey,96,-121.11936,35.9352,2018,1/4/2019,6/9/2018,209.00
Water Fire,San Luis Obispo,100,-120.12441,35.56922,2018,1/4/2019,5/24/2018,225.00
Box Fire,San Bernardino,100,-117.40967,34.22526,2018,1/4/2019,7/6/2018,182.00
Balch Fire,Tulare,100,-118.82989,36.21634,2018,1/4/2019,7/27/2018,161.00
Cloverdale Fire,San Diego,100,-117.0242529,33.0971179,2018,1/4/2019,8/13/2018,144.00
Jelly Fire,Tehama,103,-122.21032,40.31759,2018,1/4/2019,5/18/2018,231.00
Cache Fire,Lake,103,-122.57496,39.02017,2018,1/4/2019,8/26/2018,131.00
Western Fire,Mendocino,106,-123.0496,38.8802,2018,1/4/2019,8/1/2018,156.00
Cobble Fire,Fresno,108,-119.42172,36.75581,2018,1/4/2019,5/26/2018,223.00
Windmill Fire,Santa Barbara,110,-120.22298,34.62412,2018,1/4/2019,7/20/2018,168.00
Holiday Fire,Santa Barbara,113,-119.831389,34.463889,2018,1/4/2019,7/6/2018,182.00
Pine Fire,Kern,114,-118.8013889,35.56888889,2018,1/4/2019,8/16/2018,141.00
Wheeler Fire,Mariposa,115,-120.199162,37.707234,2018,1/4/2019,6/18/2018,200.00
Bridle Fire,Santa Clara,116,-121.53586,37.06367,2018,1/4/2019,7/6/2018,182.00
Idria Fire,San Benito,116,-120.82355,36.59036,2018,1/4/2019,7/12/2018,176.00
Murphy Fire,Plumas,117,-121.27,39.996944,2018,1/4/2019,8/7/2018,150.00
Market Fire,Tulare,120,-119.10433,36.47766,2018,1/4/2019,10/24/2018,72.00
Sterling,San Bernardino,125,-117.244366,34.15475,2018,1/4/2019,8/31/2018,126.00
Shastina Fire,Siskiyou,127,-122.48556,41.65935,2018,1/4/2019,5/9/2018,240.00
Open Fire,Glenn,127,-122.65582,39.46543,2018,1/4/2019,6/1/2018,217.00
Pico Fire,Los Angeles,128,-118.60441,34.38039,2018,1/4/2019,7/23/2018,165.00
Steele Fire,Napa,135,-122.18353,38.51943,2018,1/4/2019,7/28/2018,160.00
Parrots Fire,Calaveras,136,-120.46078,38.08424,2018,1/4/2019,8/5/2018,152.00
Sierra Fire,San Bernardino,147,-117.43184,34.18075,2018,1/4/2019,11/13/2018,52.00
Sliger Fire,El Dorado,150,-120.92611,38.94388,2018,1/4/2019,9/4/2018,122.00
Nacimiento Fire,Monterey,150,-121.24898,35.97677,2018,1/4/2019,10/2/2018,94.00
Briggs Fire,Ventura,150,-119.0991667,34.30166667,2018,1/4/2019,11/15/2018,50.00
Irving Fire,Marin,152,-122.727,38.02447,2018,1/4/2019,9/10/2018,116.00
Euclid Fire,Riverside,154,-117.654299,33.925862,2018,1/4/2019,6/12/2018,206.00
Santiago Fire,Orange,155,-117.746625,33.787838,2018,1/4/2019,6/11/2018,207.00
Gorge Fire,Shasta,155,-122.8905556,40.36888889,2018,1/4/2019,8/19/2018,138.00
Winters Fire,Solano,160,-121.94658,38.45673,2018,1/4/2019,10/12/2018,84.00
Flat Fire,Tuolumne,163,-120.30187,37.80785,2018,1/4/2019,6/24/2018,194.00
Fork Fire,Los Angeles,166,-117.846111,34.2325,2018,1/4/2019,9/9/2018,117.00
Roxie Fire (Formerly 1-1 Fire),Lassen,167,-120.82497,40.34822,2018,1/4/2019,7/24/2018,164.00
Priest Fire,Monterey,167,-120.69955,36.18401,2018,1/4/2019,10/13/2018,83.00
Sierra Fire,Tehama,170,-122.19792,40.12791,2018,1/4/2019,6/23/2018,195.00
Ogilvy Fire,Santa Barbara,172,-119.61416,34.576944,2018,1/4/2019,9/1/2018,125.00
Aliso Fire,Orange,175,-117.72044,33.55132,2018,1/4/2019,6/2/2018,216.00
South Fire,Los Angeles,175,-122.5275,37.97638,2018,1/4/2019,6/9/2018,209.00
Dinosaur Fire,Merced,185,-121.176354,37.05876,2018,1/4/2019,6/17/2018,201.00
Peak Fire,Ventura,186,-118.6438159,34.26734825,2018,1/4/2019,11/12/2018,53.00
Par Fire,Butte,191,-121.637759,39.491737,2018,1/4/2019,7/4/2018,184.00
Bear Fire,Merced,200,-120.24315,37.33924,2018,1/4/2019,6/7/2018,211.00
Water Fire,Kern,200,-118.92485,34.91482,2018,1/4/2019,9/12/2018,114.00
Ribbon Fire,Riverside,205,-116.500058,33.571763,2018,1/4/2019,7/26/2018,162.00
Rock Fire,San Diego,207,-117.24044,33.41476,2018,1/4/2019,7/28/2018,160.00
Beaver Fire,San Benito,215,-120.862579,36.37532,2018,1/4/2019,6/12/2018,206.00
Petersburg Fire,Siskiyou,215,-123.051,41.085,2018,1/4/2019,7/1/2018,187.00
Steamboat Fire,Siskiyou,224,-122.47293,41.70877,2018,1/4/2019,7/15/2018,173.00
Marsh Fire,Contra Costa,247,-121.85847,37.89612,2018,1/4/2019,7/25/2018,163.00
